"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C2","100n","~","Capacitor_SMD:C_1206_3216Metric","1",""
"C3","10n","~","Capacitor_SMD:C_1206_3216Metric","1",""
"C4,C5","10u","~","Capacitor_SMD:C_1206_3216Metric","2",""
"D2,D3,D5,D8,D10","4148","~","Diode_SMD:D_SOD-323_HandSoldering","5",""
"D12,D13","D_Schottky","~","Diode_SMD:D_SOD-323_HandSoldering","2",""
"J10","Conn_02x05_Odd_Even","~","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","1",""
"J16","Conn_01x05_Pin","~","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","1",""
"J17","Conn_01x13_Pin","~","Connector_PinSocket_2.54mm:PinSocket_1x13_P2.54mm_Vertical","1",""
"Q1","BC847","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657","Package_TO_SOT_SMD:SOT-23","1",""
"Q2,Q3","BC857","https://www.onsemi.com/pub/Collateral/BC860-D.pdf","Package_TO_SOT_SMD:SOT-23","2",""
"R6,R17,R19,R25,R44,R50","10k","~","Resistor_SMD:R_1206_3216Metric","6",""
"R9,R12","1k","~","Resistor_SMD:R_1206_3216Metric","2",""
"R10","100R","~","Resistor_SMD:R_1206_3216Metric","1",""
"R11,R14,R18,R27,R28,R37,R38,R42,R43,RV3","100k","~","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical,Resistor_SMD:R_1206_3216Metric","10",""
"R13","56k","~","Resistor_SMD:R_1206_3216Metric","1",""
"R29,R30,R35,R48,RV2","47k","~","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical,Resistor_SMD:R_1206_3216Metric","5",""
"U1","L7809","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U2","LM7909","https://www.onsemi.com/pub/Collateral/MC7900-D.PDF","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U3","LM13700","http://www.ti.com/lit/ds/symlink/lm13700.pdf","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","1",""
"U5,U6","TL074","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","2",""
